split,speaker_id,utterance_id,path,is_unknown
train,2412,2412-153947-0000,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0000.flac,False
train,2412,2412-153947-0001,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0001.flac,False
train,2412,2412-153947-0002,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0002.flac,False
train,2412,2412-153947-0003,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0003.flac,False
train,2412,2412-153947-0004,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0004.flac,False
train,2412,2412-153947-0005,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0005.flac,False
train,2412,2412-153947-0006,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0006.flac,False
train,2412,2412-153947-0007,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0007.flac,False
train,2412,2412-153947-0008,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0008.flac,False
train,2412,2412-153947-0009,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0009.flac,False
train,2412,2412-153947-0010,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0010.flac,False
train,2412,2412-153947-0011,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0011.flac,False
train,2412,2412-153947-0012,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0012.flac,False
train,2412,2412-153947-0013,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0013.flac,False
train,2412,2412-153947-0014,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0014.flac,False
train,2412,2412-153947-0015,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0015.flac,False
train,2412,2412-153947-0016,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153947\2412-153947-0016.flac,False
train,2412,2412-153948-0000,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153948\2412-153948-0000.flac,False
train,2412,2412-153948-0001,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153948\2412-153948-0001.flac,False
train,2412,2412-153948-0002,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153948\2412-153948-0002.flac,False
train,2412,2412-153948-0003,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153948\2412-153948-0003.flac,False
train,2412,2412-153948-0004,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153948\2412-153948-0004.flac,False
train,2412,2412-153948-0005,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153948\2412-153948-0005.flac,False
train,2412,2412-153948-0006,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153948\2412-153948-0006.flac,False
train,2412,2412-153948-0007,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153948\2412-153948-0007.flac,False
train,2412,2412-153948-0008,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153948\2412-153948-0008.flac,False
train,2412,2412-153948-0009,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153948\2412-153948-0009.flac,False
train,2412,2412-153948-0010,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153948\2412-153948-0010.flac,False
val,2412,2412-153948-0011,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153948\2412-153948-0011.flac,False
val,2412,2412-153948-0012,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153948\2412-153948-0012.flac,False
val,2412,2412-153948-0013,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153948\2412-153948-0013.flac,False
val,2412,2412-153948-0014,C:\Users\ben04\Desktop\speaker_id_project\data\raw_readable\LibriSpeech\dev-clean\2412\153948\2412-153948-0014.flac,False
